JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Revista Ciência Agronômica ,Universidade Federal do Ceará,Brazil,Yes,NA,,2010,"English, Portuguese, Spanish; Castilian",Peer review,Yes,14,CC BY,False,No
Egyptian Journal of Genetics and Cytology,The Egyptian Society of Genetics,Egypt,Yes,NA,,2008,English,Peer review,NA,12,CC BY,False,No
Jornal Brasileiro de Psiquiatria,Universidade Federal do Rio de Janeiro,Brazil,No,NA,DOI,2006,"English, Portuguese",Blind peer review,NA,20,CC BY,False,No
New Zealand Journal of Forestry Science,Springer,Germany,No,NA,DOI,2013,English,Blind peer review,Yes,39,CC BY,True,Yes
Pakistan Heart Journal,Pakistan Cardiac Society,Pakistan,No,NA,,2011,English,Blind peer review,Yes,6,CC BY,False,No
Psihologija,Drustvo Psihologa Srbije,Serbia,No,NA,DOI,2002,English,Double blind peer review,Yes,24,CC BY-SA,True,No
Reumatismo,PAGEPress Publications,Italy,No,NA,DOI,2001,"English, Italian",Blind peer review,Yes,10,CC BY-NC,True,Yes
The Review of Regional Studies,Southern Regional Science Association,United States,No,NA,,2011,English,Double blind peer review,NA,26,CC BY-NC-ND,False,No
Revista Chilena de Literatura,Universidad de Chile,Chile,No,NA,,2004,Spanish; Castilian,Double blind peer review,NA,24,CC BY-NC-ND,True,No
Santiago,Universidad de Oriente,Cuba,No,NA,,1998,Spanish; Castilian,Double blind peer review,NA,12,CC BY,False,No
Teología y Vida,Pontificia Universidad Católica de Chile,Chile,No,NA,,2000,NA,NA,NA,NA,NA,NA,No
Acta Agrobotanica,Polish Botanical Society,Poland,Yes,NA,DOI,2012,English,Blind peer review,Yes,16,CC BY,True,No
Acta Baltico-Slavica,"Institute of Slavic Studies, Polish Academy of Sciences",Poland,No,NA,DOI,2014,"Belarusian, English, Lithuanian, Polish, Russian, Ukrainian",Double blind peer review,Yes,24,CC BY,True,No
Anuario de Estudios Medievales,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1996,"Catalan; Valencian, English, French, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Archivo Español de Arqueología,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1996,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Arheologia Moldovei,Romanian Academy,Romania,No,NA,,2013,"English, French, German, Romanian; Moldavian; Moldovan",Double blind peer review,Yes,12,CC BY-NC-ND,True,No
Arquivos Brasileiros de Cardiologia,Sociedade Brasileira de Cardiologia (SBC),Brazil,No,NA,DOI,1997,"English, Portuguese",Peer review,NA,10,CC BY-NC,False,No
Boletim de Indústria Animal,Instituto de Zootecnia,Brazil,No,NA,DOI,1974,"English, Portuguese, Spanish; Castilian",Peer review,Yes,8,CC BY-NC,True,No
Folia Forestalia Polonica: Series A - Forestry,De Gruyter Open,Poland,No,NA,DOI,2008,English,Double blind peer review,Yes,8,CC BY-NC-ND,True,No
Historia (Santiago),Instituto de Historia,Chile,No,NA,,2000,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,Publisher's own license,False,No
Hoehnea,Instituto de Botânica,Brazil,No,NA,DOI,2007,"English, Portuguese, Spanish; Castilian",Peer review,Yes,52,CC BY,False,No
Iheringia: Série Botânica,Fundação Zoobotânica do Rio Grande do Sul,Brazil,No,NA,,2004,"English, Portuguese",Blind peer review,NA,30,Publisher's own license,False,No
Iheringia: Série Zoologia,Fundação Zoobotânica do Rio Grande do Sul,Brazil,No,NA,DOI,2000,"English, Portuguese, Spanish; Castilian",Peer review,NA,40,CC BY,False,No
Memórias do Instituto Oswaldo Cruz.,"Instituto Oswaldo Cruz, Ministério da Saúde",Brazil,No,NA,DOI,1909,English,Peer review,Yes,16,CC BY,False,No
The Iraqi Journal of Agricultural science,Baghdad University,Iraq,Yes,NA,,2005,"Arabic, English",Peer review,NA,6,CC BY,False,No
Koedoe: African Protected Area Conservation and Science,AOSIS,South Africa,Yes,Yes,DOI,1958,English,Double blind peer review,Yes,20,CC BY,True,Yes
Łódzkie Studia Etnograficzne ,Polskie Towarzystwo Ludoznawcze,Poland,No,NA,DOI,2015,"English, Polish",Double blind peer review,NA,8,CC BY-ND,True,No
Mélanges CRAPEL,Centre National de la Recherche Scientifique,France,No,NA,,1970,"English, French, Portuguese, Spanish; Castilian",Double blind peer review,Yes,32,CC BY-NC-ND,True,No
Oceanologia,Elsevier,Netherlands,No,Yes,DOI,2011,English,Open peer review,Yes,24,CC BY-NC-ND,False,No
RAUSP: Revista de Administração da Universidade de São Paulo,Universidade de São Paulo,Brazil,No,NA,DOI,2011,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY,False,No
Revista da Escola de Enfermagem da USP,Universidade de São Paulo,Brazil,Yes,NA,,1996,"English, Portuguese, Spanish; Castilian",Blind peer review,Yes,9,CC BY,False,No
Studia Anglica Posnaniensia,De Gruyter Open,Poland,No,NA,DOI,2009,English,Double blind peer review,Yes,15,CC BY-NC-ND,True,No
Studia Historiae Oeconomicae,De Gruyter Open,Poland,No,NA,DOI,2013,English,Double blind peer review,Yes,15,CC BY-NC-ND,False,No
Studia z Filologii Polskiej i Słowiańskiej,"Institute of Slavic Studies, Polish Academy of Sciences",Poland,No,NA,DOI,2014,"Belarusian, English, Polish, Russian, Ukrainian",Double blind peer review,Yes,48,CC BY,True,No
Trabajos de Prehistoria,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1988,"English, French, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Natalia ,The Natal Society Foundation,South Africa,No,NA,,2012,English,Double blind peer review,NA,47,CC BY-NC-SA,False,No
Revista Brasileira de Entomologia,Elsevier,Netherlands,No,Yes,DOI,2015,English,Blind peer review,Yes,16,CC BY-NC-ND,False,No
Sociološki Pregled,"Sociological Society of Serbia, Belgrade",Serbia,Yes,Yes,DOI,2000,English,Double blind peer review,NA,4,CC BY-SA,True,No
Antarctic Record,National Institute of Polar Research,Japan,No,NA,DOI,2002,"English, Japanese",Blind peer review,NA,12,CC BY,False,No
Environmental Health Perspectives,The National Institute of Environmental Health Sciences (NIEHS),United States,No,NA,DOI,1972,English,Peer review,Yes,24,Publisher's own license,False,No
Revista Brasileira de Ciência do Solo,Sociedade Brasileira de Ciência do Solo,Brazil,Yes,NA,DOI,2003,"English, Portuguese",Peer review,NA,32,CC BY,False,No
Revista de Medicina da UFC,Universidade Federal do Ceará,Brazil,No,NA,DOI,2015,"English, Portuguese",Peer review,Yes,16,CC BY,False,No
Cadernos de Pesquisa,Fundação Carlos Chagas,Brazil,No,NA,DOI,1999,"English, Portuguese, Spanish; Castilian",Editorial review,NA,14,CC BY-NC,False,No
Pesquisa Agropecuária Brasileira,Embrapa Informação Tecnológica,Brazil,No,NA,DOI,1999,"English, Portuguese, Spanish; Castilian",Peer review,NA,28,CC BY,False,No
Brazilian Journal of Veterinary Medicine, Sociedade de Medicina Veterinária do Estado do Rio de Janeiro,Brazil,Yes,NA,,2014,"English, Portuguese",Double blind peer review,NA,16,CC BY,True,No
Revista Brasileira de Fruticultura,Sociedade Brasileira de Fruticultura,Brazil,Yes,NA,,2001,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,14,CC BY,False,No
Educação & Realidade,Universidade Federal do Rio Grande do Sul,Brazil,No,NA,,1999,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,17,CC BY,False,No
Revista Caatinga,Universidade Federal Rural do Semi-Árido,Brazil,Yes,NA,,2006,English,Blind peer review,NA,48,CC BY,False,No
Revista do Instituto de Latícinios Cândido Tostes,Empresa de Pesquisa Agropecuária de Minas Gerais (EPAMIG),Brazil,No,NA,DOI,2008,"English, Portuguese",Blind peer review,NA,4,CC BY,False,No
Radiologia Brasileira,Colégio Brasileiro de Radiologia e Diagnóstico por Imagem,Brazil,No,NA,DOI,2001,"English, Portuguese",Peer review,NA,28,CC BY,False,No
Química Nova,Sociedade Brasileira de Química,Brazil,Yes,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Peer review,NA,12,CC BY-NC,False,No
Kriterion,Universidade Federal de Minas Gerais,Brazil,No,NA,DOI,2001,"English, French, German, Italian, Portuguese, Spanish; Castilian",Blind peer review,NA,28,CC BY,False,No
Summa Phytopathologica,Grupo Paulista de Fitopatologia,Brazil,Yes,NA,DOI,2006,"English, Portuguese, Spanish; Castilian",Peer review,Yes,12,CC BY,False,No
Manuscrito,Universidade Estadual de Campinas,Brazil,No,NA,,2011,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,32,CC BY,False,No
Revista Árvore,Sociedade de Investigações Florestais,Brazil,No,NA,DOI,2002,"English, Portuguese, Spanish; Castilian",Peer review,NA,32,CC BY,False,No
Engenharia Agrícola,Sociedade Brasileira de Engenharia Agrícola,Brazil,Yes,NA,DOI,2004,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,52,CC BY,False,No
Revista do Colégio Brasileiro de Cirurgiões,Colégio Brasileiro de Cirurgiões,Brazil,Yes,NA,,1998,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY,False,No
Revista Brasileira de Ginecologia e Obstetrícia,Federação Brasileira das Sociedades de Ginecologia e Obstetrícia,Brazil,No,NA,,1998,"English, Portuguese",Peer review,NA,12,CC BY,False,No
Pesquisa Veterinária Brasileira,Colégio Brasileiro de Patologia Animal (CBPA),Brazil,Yes,NA,DOI,1997,"English, Portuguese",Peer review,NA,12,CC BY-NC,False,No
Planta Daninha,Sociedade Brasileira da Ciência das Plantas Daninhas ,Brazil,Yes,NA,DOI,1994,"English, Portuguese, Spanish; Castilian",Peer review,NA,16,CC BY-NC,False,No
Religião e Sociedade,Instituto de Estudos da Religião,Brazil,No,NA,DOI,2007,"Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY-NC,False,No
Arquivos Brasileiros de Psicologia ,Universidade Federal do Rio de Janeiro,Brazil,No,NA,,2003,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY-NC,True,No
Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,Brazil,Yes,NA,DOI,1997,English,Peer review,NA,22,CC BY,False,No
Revista de Odontologia da UNESP,Universidade Estadual Paulista,Brazil,Yes,NA,,1990,"English, Portuguese",Blind peer review,NA,15,CC BY,False,No
Signo,Universidade de Santa Cruz do Sul,Brazil,No,NA,,2007,Portuguese,Peer review,NA,24,CC BY,False,No
Food Science and Technology,Sociedade Brasileira de Ciência e Tecnologia de Alimentos,Brazil,Yes,NA,,1997,English,Double blind peer review,NA,12,CC BY-NC,False,No
Comunicação & Sociedade,Universidade Metodista de São Paulo ,Brazil,No,NA,DOI,2009,Portuguese,Peer review,NA,24,CC BY-NC,False,No
Jornal Brasileiro de Nefrologia ,Sociedade Brasileira de Nefrologia,Brazil,No,NA,DOI,2009,"English, Portuguese",Blind peer review,NA,16,CC BY,False,No
Estudos Teológicos,Escola Superior de Teologia ,Brazil,No,NA,,2003,"English, German, Portuguese, Spanish; Castilian",Blind peer review,NA,12,CC BY-NC-ND,False,No
Revista de Economia Política,Editora 34,Brazil,No,NA,,2005,"English, Portuguese",Peer review,NA,21,CC BY,False,No
Trans/Form/Ação,Universidade Estadual Paulista,Brazil,No,NA,,1974,"English, Portuguese",Blind peer review,NA,17,CC BY,False,No
Cadernos Cedes,"Centro de Estudos Educação e Sociedade, CEDES",Brazil,No,NA,DOI,1999,"English, Portuguese",Double blind peer review,NA,15,CC BY-NC,False,No
Revista Brasileira de Ciências do Esporte,Colégio Brasileiro de Ciências do Esporte,Brazil,No,NA,DOI,2011,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,20,CC BY-NC-ND,False,No
Novos Estudos CEBRAP,Centro Brasileiro de Análise e Planejamento,Brazil,No,NA,DOI,1981,Portuguese,Peer review,NA,20,CC BY,False,No
Letras de Hoje,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,1974,"Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,True,Yes
Estudos Ibero Americanos,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,2004,"Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,True,Yes
Estudos Econômicos,Universidade de São Paulo,Brazil,No,NA,DOI,2003,"English, Portuguese",Double blind peer review,NA,41,CC BY-NC,False,No
Educação,Editora da Pontifícia Universidade Católica do Rio Grande do Sul - EDIPUCRS,Brazil,No,NA,DOI,2004,"Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,False,No
Anais do Museu Paulista: História e Cultura Material,"Universidade de São Paulo, Museu Paulista",Brazil,No,NA,DOI,1993,"English, French, Italian, Portuguese, Spanish; Castilian",Peer review,NA,18,CC BY,False,No
Ilha do Desterro ,Universidade Federal de Santa Catarina,Brazil,No,NA,DOI,1979,"English, Portuguese",Double blind peer review,NA,16,CC BY,True,No
Archives of Clinical Psychiatry,Universidade de São Paulo,Brazil,No,NA,DOI,2002,English,Peer review,NA,25,CC BY-NC,False,No
Serviço Social & Sociedade,Cortez Editora Ltda,Brazil,No,NA,,2010,"English, Portuguese",Peer review,NA,14,CC BY-NC,False,No
Revista Águas Subterrâneas,Associação Brasileira de Águas Subterrâneas,Brazil,No,NA,,1980,"English, Portuguese",Double blind peer review,NA,20,CC BY,True,No
Boletim Goiano de Geografia,Universidade Federal de Goiás,Brazil,No,NA,DOI,1981,"English, Portuguese",Blind peer review,Yes,6,CC BY,False,No
Inter-Ação,Universidade Federal de Goiás,Brazil,No,NA,DOI,2007,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY-NC,True,No
Revista da Faculdade de Direito da UFG,Universidade Federal de Goiás,Brazil,No,NA,,1987,Portuguese,Double blind peer review,NA,16,CC BY,False,No
Educação & Sociedade,Centro de Estudos Educação e Sociedade (CEDES),Brazil,No,NA,DOI,1997,"English, French, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY-NC,False,No
Pesquisa Operacional,Sociedade Brasileira de Pesquisa Operacional,Brazil,No,NA,DOI,2000,English,Blind peer review,NA,8,CC BY,False,No
Boletim Gaùcho de Geografia,"Associação dos Geógrafos Brasileiros, Seção de Porto Alegre",Brazil,No,NA,,2012,"Portuguese, Spanish; Castilian",Double blind peer review,NA,40,CC BY,True,No
Revista de Letras,Universidade Federal do Ceará,Brazil,No,NA,,1978,Spanish; Castilian,Double blind peer review,NA,20,CC BY,True,No
Revista de Psiquiatria do Rio Grande do Sul,Sociedade de Psiquiatria do Rio Grande do Sul,Brazil,NA,NA,,2003,NA,NA,NA,NA,CC BY-NC,NA,No
Revista Brasileira de Zoologia,Sociedade Brasileira de Zoologia,Brazil,NA,NA,,1982,NA,NA,NA,NA,CC BY-NC,NA,No
Educação (UFSM),Universidade Federal de Santa Maria,Brazil,No,NA,DOI,2000,"Portuguese, Spanish; Castilian",Blind peer review,NA,10,CC BY-NC,False,No
História,Universidade Estadual Paulista Julio de Mesquita Filho,Brazil,No,NA,DOI,2003,"English, Portuguese, Spanish; Castilian",Peer review,NA,8,CC BY-NC,False,No
Sequência: Estudos Juridicos e Politicos,Universidade Federal de Santa Catarina,Brazil,No,NA,DOI,1980,"English, German, Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY,False,No
Anuário do Instituto de Geociências,Universidade Federal do Rio de Janeiro,Brazil,No,NA,,1977,"English, French, Portuguese, Spanish; Castilian",Peer review,NA,28,CC BY,True,No
Revista Brasilera de Coloproctologia,Cidade Editora Científica Ltda,Brazil,NA,NA,,2006,NA,NA,NA,NA,CC BY-NC,NA,No
Revista Brasileira de História,Associação Nacional de História (ANPUH),Brazil,No,NA,,1997,"English, Portuguese, Spanish; Castilian",Peer review,NA,13,CC BY,False,No
Revista de Arqueologia,Sociedade de Arqueologia Brasileira,Brazil,No,NA,DOI,1983,Portuguese,Double blind peer review,Yes,24,CC BY-SA,True,No
Horticultura Brasileira,Associação Brasileira de Olericultura,Brazil,Yes,NA,DOI,1999,"English, Portuguese, Spanish; Castilian",Peer review,NA,40,CC BY,False,No
Revista Brasileira de Biometria,Universidade Federal de Lavras,Brazil,No,NA,,2007,"English, Portuguese",Double blind peer review,NA,53,CC BY,True,No
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Universidade Federal de Minas Gerais,Brazil,Yes,NA,DOI,1999,"English, Portuguese",Editorial review,NA,26,CC BY,False,No
Revista Educação em Debate,Universidade Federal do Ceará,Brazil,No,NA,,1999,"Portuguese, Spanish; Castilian",Blind peer review,Yes,12,CC BY-NC-ND,True,No
Revista de Psicologia ,Universidade Federal do Ceará,Brazil,No,NA,,2010,"English, Portuguese",Blind peer review,NA,16,CC BY-NC,False,No
Revista de Homeopatia,Associação Paulista de Homeopatia,Brazil,No,NA,,2009,"English, Portuguese",Peer review,NA,24,CC BY,True,No
Revista da Faculdade de Educação,Universidade de São Paulo,Brazil,NA,NA,,1997,Portuguese,NA,NA,NA,NA,NA,No
Revista Brasileira de Estudos de População,Associação Brasileira de Estudos Populacionais,Brazil,No,NA,,2005,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,13,CC BY-NC,False,No
Cadernos de Saúde Pública,"Escola Nacional de Saúde Pública, Fundação Oswaldo Cruz",Brazil,No,NA,DOI,1999,"English, Portuguese, Spanish; Castilian",Peer review,NA,17,CC BY,True,No
Acta Botânica Brasílica,Sociedade Botânica do Brasil,Brazil,No,NA,DOI,1987,English,Peer review,NA,18,CC BY-NC,False,No
Jornal de Pneumologia,Sociedade Brasileira de Pneumologia e Tisiologia,Brazil,NA,NA,,1999,Portuguese,NA,NA,NA,NA,NA,No
Revista Brasileira de Ortopedia,Sociedade Brasileira de Ortopedia e Traumatologia,Brazil,No,NA,DOI,2007,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,21,CC BY-NC-ND,False,No
Psicologia: Teoria e Pesquisa,Universidade de Brasília,Brazil,No,NA,DOI,2000,"English, Portuguese, Spanish; Castilian",Peer review,Yes,48,CC BY-NC,True,No
BIBLOS : Revista do Instituto de Ciências Humanas e da Informação,Universidade Federal do Rio Grande,Brazil,No,NA,,2004,Portuguese,Peer review,NA,10,CC BY-NC,False,No
DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,Pontifícia Universidade Católica de São Paulo,Brazil,No,NA,DOI,1997,"English, French, Italian, Portuguese, Spanish; Castilian",Editorial review,NA,52,CC BY,False,No
Perspectiva Teológica,Faculdade Jesuíta de Filosofia e Teologia,Brazil,No,NA,,1969,"English, French, Italian, Portuguese, Spanish; Castilian",Double blind peer review,Yes,16,CC BY-NC,False,No
Educação em Revista,Universidade Federal de Minas Gerais,Brazil,No,NA,DOI,2007,English,Double blind peer review,NA,37,CC BY-NC,False,No
